설비ID,시간,센서값1,센서값2,상태코드,이상 여부,주기,작업ID,운영자
EQP004,2024-11-01 00:00:00,96.05714451279329,0.7319939418114051,ALERT,1,1,JOB00001,operator_01
EQP005,2024-11-01 00:00:01,67.74801263571896,0.44583275285359114,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:00:02,56.73991135726937,0.33370861113902184,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:03,21.646759543664196,0.9699098521619943,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:00:04,95.08421672126002,0.0007787658410143283,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:05,34.6723607882747,0.3042422429595377,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:00:06,54.55560149136926,0.2912291401980419,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:00:07,51.988877737220434,0.04666566321361543,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:08,49.308947463495336,0.45606998421703593,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:09,50.59695930137302,0.9832308858067882,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:10,23.71603301759982,0.6075448519014384,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:00:11,56.039940157563436,0.013264961159866528,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:00:12,97.25056264596475,0.8083973481164611,ALERT,1,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:13,21.277300177617136,0.230893825622149,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:14,55.21219949916811,0.12203823484477883,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:00:15,86.65559293889315,0.17336465350777208,ALERT,1,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:16,40.70239852800135,0.662522284353982,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:00:17,54.01246995929958,0.20794166286818883,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:00:18,34.788356442042165,0.9695846277645586,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:00:19,55.98033066958125,0.3951502360018144,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:20,67.83199830488681,0.9218742350231168,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:00:21,23.618183112843045,0.32533033076326434,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:00:22,41.70792254191167,0.8287375091519293,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:00:23,97.22042458113104,0.6070342476866847,ALERT,1,1,JOB00001,operator_03
EQP005,2024-11-01 00:00:24,31.27393799798101,0.8021969807540397,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:25,21.250912539295513,0.4234014807063696,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:00:26,35.89725452273379,0.005522117123602399,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:27,35.90739232710441,0.71134195274865,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:00:28,81.70162773487566,0.07404465173409036,ALERT,1,1,JOB00001,operator_02
EQP002,2024-11-01 00:00:29,29.269524762010377,0.8631034258755935,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:00:30,46.471841988211935,0.06355835028602363,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:00:31,78.36849426704512,0.6375574713552131,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:00:32,64.8994740678161,0.38292687475378984,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:33,80.8628038893518,0.5612771975694962,ALERT,1,1,JOB00001,operator_01
EQP003,2024-11-01 00:00:34,61.818626350559526,0.42754101835854963,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:00:35,55.14692014926161,0.2017192023353962,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:00:36,45.148478486106136,0.5085706911647028,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:00:37,39.94337833191,0.41038292303562973,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:00:38,36.24489797878155,0.942853570557981,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:39,75.58279464317636,0.8804678390152577,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:00:40,84.64963036515336,0.6334037565104235,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:41,84.29376615192916,0.18657005888603584,ALERT,1,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:42,45.94760168042192,0.12208795470067335,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:43,45.44027799774911,0.11005192452767676,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:00:44,71.81520964330899,0.0005203769953158188,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:00:45,88.85844666050747,0.006952130531190703,ALERT,1,1,JOB00001,operator_01
EQP003,2024-11-01 00:00:46,53.39288025190232,0.22210781047073025,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:00:47,41.552986703881714,0.24412552224777417,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:00:48,45.856234561660415,0.5187906217433661,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:49,52.30689368464326,0.06489224710898156,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:00:50,96.99578359536889,0.25178229582536416,ALERT,1,1,JOB00001,operator_03
EQP002,2024-11-01 00:00:51,76.98164719395535,0.1480869299533999,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:00:52,41.3424811420228,0.9766149558326529,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:53,24.118300099999146,0.27864646423661144,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:00:54,70.7481075761091,0.6807054515547668,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:00:55,59.15622082220504,0.9856504541106007,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:00:56,26.46826610661722,0.36965445606140446,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:00:57,78.25730788894876,0.3677831327192532,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:00:58,98.67385127158744,0.39882444244455306,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:00:59,32.057403517234356,0.5081987767407187,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:01:00,88.66870438509758,0.32595890520188475,ALERT,1,1,JOB00001,operator_01
EQP004,2024-11-01 00:01:01,21.32702631422849,0.512093058299281,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:01:02,47.89327898333835,0.09617655109142076,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:01:03,75.27501904819728,0.3867353463005374,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:04,87.01680847258623,0.6756901170392807,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:05,29.077881699247126,0.9246936182785628,NORMAL,0,1,JOB00001,operator_03
EQP002,2024-11-01 00:01:06,40.63533021721245,0.659984046034179,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:07,98.57346746635484,0.5166358912710143,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:08,39.34818327203614,0.09310276780589921,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:01:09,64.66347628856781,0.8826363431893397,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:01:10,42.30970820737455,0.7003578299727713,NORMAL,0,1,JOB00001,operator_02
EQP003,2024-11-01 00:01:11,88.50594335024739,0.4045081271221901,ALERT,1,1,JOB00001,operator_03
EQP001,2024-11-01 00:01:12,71.36253169234303,0.08413996499504883,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:01:13,91.88433508216634,0.6064290596595899,ALERT,1,1,JOB00001,operator_02
EQP003,2024-11-01 00:01:14,49.78262132493945,0.9401334424577784,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:01:15,20.404926707697495,0.16080805141749865,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:16,58.84910028689813,0.44842414298624733,NORMAL,0,1,JOB00001,operator_02
EQP005,2024-11-01 00:01:17,37.941544756844785,0.7121792213475359,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:01:18,59.51149721467477,0.1788227092213288,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:01:19,72.60903138402747,0.5683086033354716,NORMAL,0,1,JOB00001,operator_02
EQP004,2024-11-01 00:01:20,60.7051261471008,0.6363326181858954,NORMAL,0,1,JOB00001,operator_03
EQP005,2024-11-01 00:01:21,58.93937223675641,0.906098787718554,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:01:22,83.58490428333187,0.5026370931051921,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:01:23,73.51392477304798,0.8641675650719031,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:01:24,77.79616922092043,0.2807723624408558,NORMAL,0,1,JOB00001,operator_01
EQP003,2024-11-01 00:01:25,81.48432114450472,0.04360377175443375,ALERT,1,1,JOB00001,operator_02
EQP004,2024-11-01 00:01:26,95.23668674823314,0.9539285770025874,ALERT,1,1,JOB00001,operator_03
EQP005,2024-11-01 00:01:27,90.67952178130072,0.7477187738974139,ALERT,1,1,JOB00001,operator_01
EQP005,2024-11-01 00:01:28,94.26548500701803,0.42818414831731433,ALERT,1,1,JOB00001,operator_02
EQP005,2024-11-01 00:01:29,65.78339753366706,0.9803315837160457,NORMAL,0,1,JOB00001,operator_03
EQP004,2024-11-01 00:01:30,43.55591136556686,0.38509772860192526,NORMAL,0,1,JOB00001,operator_01
EQP001,2024-11-01 00:01:31,45.35376041250221,0.1694927466860925,NORMAL,0,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:32,51.57531734475778,0.8442131407263114,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:01:33,65.6048936071492,0.09717649377076854,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:34,40.3330919255791,0.29529058841893874,NORMAL,0,1,JOB00001,operator_02
EQP002,2024-11-01 00:01:35,79.26148942033635,0.697015740995268,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:01:36,76.71287975280949,0.5528199769079077,NORMAL,0,1,JOB00001,operator_01
EQP002,2024-11-01 00:01:37,84.74889243828109,0.8101133946791808,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:38,68.92109686925444,0.08159418040024036,NORMAL,0,1,JOB00001,operator_03
EQP001,2024-11-01 00:01:39,70.23155319589088,0.19427395351204224,NORMAL,0,1,JOB00001,operator_01
EQP004,2024-11-01 00:01:40,90.92937191605279,0.027616771873704704,ALERT,1,1,JOB00001,operator_02
EQP002,2024-11-01 00:01:41,27.51855518726952,0.578280140996174,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:01:42,57.24784145059681,0.5426446347075766,NORMAL,0,1,JOB00001,operator_01
EQP005,2024-11-01 00:01:43,87.11468016554906,0.8604046183116753,ALERT,1,1,JOB00001,operator_02
EQP001,2024-11-01 00:01:44,22.987855099937153,0.8226005606596583,NORMAL,0,1,JOB00001,operator_03
EQP003,2024-11-01 00:01:45,30.16484101215078,0.5222432600548044,NORMAL,0,1,JOB00001,operator_01
